system:index,area_ha,dNBR,fire_class,fire_date_str,fire_year,nbr_post,nbr_post2,nbr_post3,nbr_pre,sensor,severity,.geo
00000000000000000450,0.01,-9999.197314767067,소규모,2012-06-28,2012,0.1973147670667103,0.26151852367845807,0.07413972736742777,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.03095553348619,37.68534342422086]}"
00000000000000000487,0.01,-9999.135714979671,소규모,2012-10-14,2012,0.13571497967192486,0.12112258098260417,0.22492648971940332,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.50102750968517,38.177837758270805]}"
000000000000000004b2,0.01,-9999.12385815502,소규모,2012-11-27,2012,0.12385815501977383,0.11084258259052257,0.1272674855342138,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.73032540180971,37.937015087677345]}"
00000000000000000329,0.02,-9999.04405795765,소규모,2012-04-09,2012,0.044057957649770975,0.07914856777670026,0.1084400232629086,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.91785735571342,37.86629820407075]}"
0000000000000000025c,0.03,-9999.039318388335,소규모,2012-01-11,2012,0.03931838833602698,0.07802601331790775,0.1071067208536416,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.85547453197572,37.66114834190486]}"
00000000000000000337,0.03,-9999.24111761533,소규모,2012-04-15,2012,0.24111761532963855,0.14884596432029512,0.14448072824156727,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[129.06340487544472,37.274780612926946]}"
000000000000000003f1,0.03,-9999.082638004964,소규모,2012-06-02,2012,0.08263800496420179,0.13064600231615967,0.06743093135049744,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.0915680941057,37.621136828152295]}"
00000000000000000440,0.03,-9999.13020867019,소규모,2012-06-26,2012,0.13020867019101853,0.20574542261204523,0.1745492170896367,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.09921099331129,37.567422496862484]}"
0000000000000000049e,0.03,-9999.094210216872,소규모,2012-10-21,2012,0.09421021687168706,0.07507627067329735,0.20155886274755672,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.814116369705,37.32935109161901]}"
00000000000000000391,0.04,-9999.187258301654,소규모,2012-05-23,2012,0.18725830165357293,0.18549743607088076,0.1706316184398387,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.59495155292815,38.14567872147334]}"
00000000000000000357,0.05,-9999.088248198526,소규모,2012-04-20,2012,0.08824819852722522,0.162480569825802,0.18815857872034397,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.25908560472732,37.249756137815005]}"
00000000000000000370,0.05,-9999.143018857734,소규모,2012-05-06,2012,0.14301885773404455,0.1499030082998686,0.2582730916050304,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.91139611828697,37.4674048602337]}"
0000000000000000037b,0.05,-9999.174279561244,소규모,2012-05-07,2012,0.17427956124469934,0.1502764042168672,0.08801517336593008,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.29249964667501,38.132894478753116]}"
0000000000000000041c,0.05,-9999.150561984714,소규모,2012-06-14,2012,0.1505619847140941,0.169109993484978,0.17027542110765537,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.79107619456185,37.904659850433546]}"
0000000000000000028d,0.06,-9999.145347449095,소규모,2012-02-28,2012,0.14534744909489639,0.19538990374627088,0.07878065371117618,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.07030956162967,38.212908588056145]}"
