stn_id,name,lat,lon,ndvi_mean,SLTP_CD,TPGRP_TPCD,CLZN_CD_x,PRRCK_LARG,SOIL_DRNGE,LOCTN_GRDN,ALTTD_CD,WASH_CD,SLANT_TYP,EIGHT_CD,WIND_EXDGR,WTEFF_DGR,VLDTY_SLDP,KOFTR_CD,AVRG_FRAG,토양형,지형,기후대,모암대,배수,침식,경사형,사면방위,바람노출,풍화정도,수종,산사태등급,산사태위험도,RPRSN_KOFT,KOFTR_LIST,KOFTR_LI_1,CLZN_CD_y,BROAD,label_맞춤,dist_맞춤,FROR_CD,FRTP_CD,AGCLS_CD,DNST_CD,label_임상,dist_임상,label,label_name,추천수종_적지,추천수종_가능
519,사내,38.07545,127.51941,0.5364535714285715,2.0,3.0,2.0,1.0,3.0,13.2,4.0,1.0,2.0,310.0,2.0,2.0,24.0,11005.0,15.0,갈색약건,산복,온대중부,화성암,양호,없음,평행사면,남동,보통,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
520,설악동,38.16705,128.51818,0.6271660714285714,2.0,3.0,2.0,1.0,2.0,19.5,3.0,1.0,1.0,310.0,1.0,2.0,25.0,11005.0,13.0,갈색약건,산복,온대중부,화성암,보통,없음,상승사면,남동,노출,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
522,화촌,37.78712,127.9838,0.5152696428571429,2.0,3.0,2.0,3.0,2.0,6.5,2.0,1.0,2.0,310.0,2.0,2.0,26.0,,0.0,갈색약건,산복,온대중부,변성암,보통,없음,평행사면,남동,보통,중,,,,,,,,,,,,,,,,,0,자연복원,,
523,주문진,37.89848,128.82139,0.5695017857142858,2.0,5.0,2.0,1.0,3.0,2.8,1.0,1.0,3.0,310.0,2.0,2.0,22.0,11005.0,14.0,갈색약건,산록,온대중부,화성암,양호,없음,하강사면,남동,보통,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
524,경포,37.78638,128.89388,0.4603589285714286,1.0,5.0,2.0,1.0,3.0,1.5,1.0,1.0,2.0,310.0,3.0,2.0,24.0,11005.0,15.0,갈색건조,산록,온대중부,화성암,양호,없음,평행사면,남동,보호,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
525,봉평,37.61234,128.37725,0.3554482142857144,3.0,5.0,2.0,3.0,2.0,12.7,6.0,1.0,2.0,420.0,2.0,1.0,31.0,,0.0,갈색적윤,산록,온대중부,변성암,보통,없음,평행사면,북서,보통,상,,,,,,,,,,,,,,,,,1,인공조림,,
526,평창,37.37748,128.39469,0.4774732142857144,12.0,5.0,2.0,2.0,3.0,15.1,4.0,2.0,2.0,300.0,2.0,2.0,27.0,11005.0,13.0,암적색적윤,산록,온대중부,퇴적암,양호,있음,평행사면,남,보통,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
527,신동,37.21108,128.64126,0.4981642857142856,3.0,3.0,2.0,2.0,3.0,19.5,6.0,1.0,2.0,400.0,2.0,2.0,25.0,11017.0,14.0,갈색적윤,산복,온대중부,퇴적암,양호,없음,평행사면,북,보통,중,낙엽송,,,,,,,,,,,,,,,,0,자연복원,,
529,원덕,37.14156,129.28585,0.6115803571428572,82.0,5.0,,,,26.7,1.0,,,310.0,,,0.0,,0.0,,산록,,,,,,남동,,,,,,,,,,,,,,,,,,,0,자연복원,,
531,가평북면,37.89807,127.55219,0.5273053571428573,2.0,1.0,2.0,3.0,3.0,26.5,4.0,1.0,1.0,420.0,1.0,3.0,20.0,12018.0,13.0,갈색약건,산정,온대중부,변성암,양호,없음,상승사면,북서,노출,하,신갈나무,,,,,,,,,,,,,,,,0,자연복원,,
534,장호원,37.121,127.61058,0.3931785714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,인공조림,,
535,서석,37.71701,128.18265,0.5345767857142858,3.0,3.0,2.0,1.0,3.0,16.2,4.0,1.0,3.0,300.0,3.0,2.0,29.0,11005.0,8.0,갈색적윤,산복,온대중부,화성암,양호,없음,하강사면,남,보호,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
536,횡성,37.4876,127.97242,0.3997642857142857,2.0,3.0,2.0,1.0,2.0,15.3,2.0,1.0,2.0,310.0,2.0,2.0,25.0,,0.0,갈색약건,산복,온대중부,화성암,보통,없음,평행사면,남동,보통,중,,,,,,,,,,,,,,,,,1,인공조림,,
537,임계,37.48323,128.84589,0.5207714285714287,82.0,3.0,,,,27.0,9.0,,,310.0,,,0.0,,0.0,,산복,,,,,,남동,,,,,,,,,,,,,,,,,,,0,자연복원,,
547,양동,37.41593,127.75488,0.5324749999999999,1.0,1.0,2.0,1.0,2.0,18.0,4.0,1.0,1.0,320.0,1.0,2.0,22.0,,0.0,갈색건조,산정,온대중부,화성암,보통,없음,상승사면,남서,노출,중,,,,,,,,,,,,,,,,,0,자연복원,,
548,여주,37.26883,127.63956,0.5814357142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,자연복원,,
553,대진,38.49235,128.42813,0.599282142857143,24.0,3.0,2.0,1.0,3.0,4.8,1.0,2.0,1.0,310.0,1.0,3.0,24.0,,0.0,약침식토양,산복,온대중부,화성암,양호,있음,상승사면,남동,노출,하,,,,,,,,,,,,,,,,,0,자연복원,,
