system:index,area_ha,fire_class,fire_date_str,fire_year,ndvi_post1,ndvi_post2,ndvi_post3,ndvi_pre,sensor,.geo
00000000000000000139,0.1,소규모,2011-04-10,2011,-1.0,0.3121556447638366,0.19848684905748448,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.67080532094829,38.08262703257762]}"
00000000000000000147,0.1,소규모,2011-04-06,2011,-1.0,0.3588362833722718,0.19375402956599447,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.83046589551375,37.65706380533991]}"
00000000000000000164,0.1,소규모,2011-04-11,2011,-1.0,0.3062743877031044,0.12693488076508358,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.19159910803764,38.08340737526198]}"
0000000000000000017a,0.1,소규모,2011-04-12,2011,-1.0,0.2188983403620638,0.1798985429833693,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.15820490024836,37.77628233110484]}"
00000000000000000230,0.1,소규모,2011-05-14,2011,-1.0,0.2759252311836179,0.18057247284635372,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.22068582420928,38.17835947309405]}"
00000000000000000239,0.1,소규모,2011-06-12,2011,-1.0,0.25443670988442724,0.19094615781847932,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.13100484741497,37.42463316292904]}"
000000000000000005e2,0.1,소규모,2011-02-23,2011,-1.0,0.13182820667049872,0.14499778164262553,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.54992800959151,37.028865648930456]}"
0000000000000000060d,0.1,소규모,2011-03-11,2011,-1.0,0.13702810287937892,0.13739205904363966,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.1254998553682,37.51391774332218]}"
000000000000000001a7,0.15,소규모,2011-04-13,2011,-1.0,0.15054174467598003,0.16929536950651877,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.18000344754444,37.32782161995768]}"
00000000000000000030,0.2,소규모,2011-03-18,2011,-1.0,0.17338302323199328,0.15407371893592042,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.88714752675835,37.67382110709876]}"
0000000000000000013f,0.2,소규모,2011-04-06,2011,-1.0,0.22737901764336696,0.15789326102770523,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.20851693743441,38.20929671620285]}"
000000000000000001a4,0.2,소규모,2011-04-13,2011,-1.0,0.3161478484059678,0.17050970876819524,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.066847301458,37.28220947528198]}"
000000000000000001d3,0.2,소규모,2011-04-17,2011,-1.0,0.13854177387132066,0.15857281393725964,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.201407132601,37.5816068973135]}"
0000000000000000032c,0.2,소규모,2011-02-01,2011,-1.0,0.18288441682022852,0.22538638696952687,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.84510512427224,37.78064779103615]}"
000000000000000000c1,0.3,소규모,2011-01-22,2011,-1.0,0.18536019635557785,0.2380051207071882,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.84722765637366,37.77362024777593]}"
000000000000000000ce,0.3,소규모,2011-04-01,2011,-1.0,0.2605744444666471,0.20089733493573436,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.69411550350148,37.374066956982965]}"
000000000000000001c9,0.3,소규모,2011-04-17,2011,-1.0,0.17318403544452596,0.1954989608948374,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.07769383297418,38.020868482987396]}"
00000000000000000565,0.3,소규모,2011-02-11,2011,-1.0,0.17255332265442824,0.1753559582820099,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.1759278291816,37.800049339719706]}"
00000000000000000604,0.3,소규모,2011-03-09,2011,-1.0,0.16934039442469798,0.17453423271486546,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.96566783720847,37.932056567305914]}"
00000000000000000624,0.3,소규모,2011-03-12,2011,-1.0,0.11487300187225685,0.11067038271394686,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.0581808067643,37.056864344445046]}"
000000000000000000f4,0.5,소규모,2011-04-01,2011,-1.0,0.4005008532714821,0.2376377198814668,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.12250134170603,37.3230682182347]}"
000000000000000001ad,0.5,소규모,2011-04-13,2011,-1.0,0.22567172495987725,0.13566471054924792,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.72685622119013,37.81100981010908]}"
000000000000000001f2,0.6,소규모,2011-04-20,2011,-1.0,0.1429464354859236,0.1590470904452951,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.14834828916605,37.61614263497243]}"
00000000000000000065,0.7,소규모,2011-03-24,2011,-1.0,0.31898862245982595,0.13783227037746731,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.7565137022966,38.133893317389095]}"
00000000000000000600,2.0,소규모,2011-03-09,2011,-1.0,0.11251947913142424,0.11783666945389064,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.51365122476747,37.16073018528295]}"
0000000000000000034e,6.0,소규모,2012-04-19,2012,0.16853707130261725,0.19268101309918714,0.2215953733743919,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.936344788681,37.770307135693216]}"
000000000000000003fc,1.6,소규모,2012-06-03,2012,0.10935019210115919,0.09644732832171117,0.0848263891039037,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.08222181829767,37.627397406031335]}"
00000000000000000358,0.01,소규모,2012-04-30,2012,0.21939108343148625,0.14245004626006688,0.16905889636691396,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.76037974290993,37.753023660010065]}"
0000000000000000035b,0.01,소규모,2012-04-24,2012,0.3760077966612886,0.2556322077791129,0.27407674342786204,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.05564603961176,37.57923465555307]}"
00000000000000000376,0.01,소규모,2012-05-06,2012,0.18927855931094653,0.16009725727554303,0.19259403681932666,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.9401662382838,37.76586141194293]}"
000000000000000003a7,0.01,소규모,2012-05-27,2012,0.19512223158005168,0.18760316069123736,0.26310457454691144,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.93899795380783,37.77334824261167]}"
000000000000000003aa,0.01,소규모,2012-05-27,2012,0.34035689360293486,0.194317057034184,0.2861337502076513,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.05124490687197,37.43014907093216]}"
000000000000000003b9,0.01,소규모,2012-05-28,2012,0.192209286211459,0.16880000306847606,0.2492036908261273,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.75226218123842,37.43260157651155]}"
000000000000000003bf,0.01,소규모,2012-05-28,2012,0.14244524243114082,0.1346208458812631,0.22873112176390475,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.06262207141353,37.617252951134745]}"
000000000000000003d1,0.01,소규모,2012-05-29,2012,0.1663228804763996,0.1393080167661327,0.2434432835625964,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.76335396331258,37.250986849705754]}"
000000000000000003e4,0.01,소규모,2012-05-30,2012,0.17681306158187296,0.18045136222844124,0.20634863343798726,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.98518978162046,38.147333047964175]}"
00000000000000000450,0.01,소규모,2012-06-28,2012,0.12411735892322753,0.2314603283110516,0.1483749846981248,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.03095553348619,37.68534342422086]}"
00000000000000000487,0.01,소규모,2012-10-14,2012,0.19984009865102687,0.2000295973153523,0.22548048952741587,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.50102750968517,38.177837758270805]}"
000000000000000004b2,0.01,소규모,2012-11-27,2012,0.12048673218950955,0.13973602570568883,0.1629766469541154,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.73032540180971,37.937015087677345]}"
00000000000000000329,0.02,소규모,2012-04-09,2012,0.12453378160807248,0.10014637462450182,0.15764404547731287,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.91785735571342,37.86629820407075]}"
0000000000000000025c,0.03,소규모,2012-01-11,2012,0.12697027745258674,0.1098828058650122,0.13717606339123414,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.85547453197572,37.66114834190486]}"
00000000000000000337,0.03,소규모,2012-04-15,2012,0.3146804758374944,0.194567003796138,0.20553853279836595,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.06340487544472,37.274780612926946]}"
000000000000000003f1,0.03,소규모,2012-06-02,2012,0.14156373442683273,0.12452089504385991,0.11259294467372322,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.0915680941057,37.621136828152295]}"
00000000000000000440,0.03,소규모,2012-06-26,2012,0.15442141107923257,0.1581517257390489,0.22823298318211707,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.09921099331129,37.567422496862484]}"
0000000000000000049e,0.03,소규모,2012-10-21,2012,0.1343125439003866,0.11959735913021027,0.26245460187421665,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.814116369705,37.32935109161901]}"
00000000000000000391,0.04,소규모,2012-05-23,2012,0.2572900375673618,0.13778154489849725,0.15635459207288682,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.59495155292815,38.14567872147334]}"
00000000000000000357,0.05,소규모,2012-04-20,2012,0.17077699690796766,0.18814068034671919,0.21702746593142838,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.25908560472732,37.249756137815005]}"
00000000000000000370,0.05,소규모,2012-05-06,2012,0.21553540467577745,0.17853679755351085,0.23707301721059762,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.91139611828697,37.4674048602337]}"
0000000000000000037b,0.05,소규모,2012-05-07,2012,0.23908404830025004,0.14775638514242487,0.14523768049769767,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.29249964667501,38.132894478753116]}"
0000000000000000041c,0.05,소규모,2012-06-14,2012,0.21963711891721513,0.16333679843557478,0.22450886248443977,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.79107619456185,37.904659850433546]}"
0000000000000000028d,0.06,소규모,2012-02-28,2012,0.2401949648892144,0.11756918382348976,0.15361141920922175,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.07030956162967,38.212908588056145]}"
000000000000000003b5,0.07,소규모,2012-05-28,2012,0.15335766414909308,0.13802487578710085,0.18824071362600434,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.93618872014414,37.67231393094269]}"
000000000000000001bb,0.1,소규모,2012-05-27,2012,0.1512369796379451,0.13071279494030197,0.20518391366684835,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.42980674765954,37.163356595803435]}"
00000000000000000258,0.1,소규모,2012-01-11,2012,0.10952553747193434,0.11127777313011865,0.17188680788702482,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.25323280279837,37.66344923804845]}"
0000000000000000026a,0.1,소규모,2012-02-16,2012,0.12315328515964534,0.12369444802456016,0.15611290965521557,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.98623321126696,37.44761982885956]}"
000000000000000002af,0.1,소규모,2012-03-12,2012,0.12609532453956282,0.12641067650694762,0.16640045295822925,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.11259521691954,37.537858656878136]}"
000000000000000002dc,0.1,소규모,2012-03-30,2012,0.12123496703514035,0.11779709328562418,0.16643610154159388,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.94395647417926,38.04308818353672]}"
000000000000000002e4,0.1,소규모,2012-04-06,2012,0.19228263029184003,0.13911202900716296,0.17644430514861645,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.21349329421005,37.600326203535865]}"
000000000000000002f2,0.1,소규모,2012-03-31,2012,0.24102079696099146,0.1449230587615326,0.2007071053667256,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.14501933843334,37.66642791755214]}"
0000000000000000031e,0.1,소규모,2012-05-06,2012,0.29699273032943563,0.1789180184615379,0.19873123900658593,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.7460258966189,38.09284729219212]}"
00000000000000000324,0.1,소규모,2012-04-09,2012,0.09402221956120071,0.08214240537518407,0.08170078676946059,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.11245006433899,37.55700603680164]}"
0000000000000000033b,0.1,소규모,2012-04-17,2012,0.17030641937511273,0.20748146592940256,0.21783859302248035,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.418498467388,37.335651801407536]}"
0000000000000000037a,0.1,소규모,2012-05-07,2012,0.2185069321112822,0.18552997894096815,0.1893622018610508,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.12683512433739,37.692879305001185]}"
00000000000000000381,0.1,소규모,2012-05-07,2012,0.2185338720761041,0.1963846484921732,0.21676068040351837,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.3836639699585,37.65496802784479]}"
0000000000000000038f,0.1,소규모,2012-05-18,2012,0.17086630037295963,0.13026914649005886,0.16292766679083673,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.63759839540329,37.50687236365774]}"
0000000000000000039f,0.1,소규모,2012-05-26,2012,0.1625485868388463,0.11375042345996818,0.12109539910715465,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.17806573634043,37.82532798359169]}"
000000000000000003c4,0.1,소규모,2012-05-28,2012,0.1441530445935927,0.12424198535403085,0.1610586528310837,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.956116442752,37.746709572918384]}"
000000000000000003df,0.1,소규모,2012-05-30,2012,0.18623196703553874,0.1892799285055848,0.26310457454691144,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.93899795380783,37.77334824261167]}"
000000000000000003e3,0.1,소규모,2012-05-30,2012,0.15319000612828637,0.15641614570971182,0.19808202317756235,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.9378207511297,37.660274358098384]}"
00000000000000000425,0.1,소규모,2012-06-19,2012,0.1796823529131418,0.16677073195644376,0.2897847812946268,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.55670584319273,37.7456928978782]}"
00000000000000000491,0.1,소규모,2012-10-15,2012,0.06729413214827731,0.13368130643204465,0.08949053489735248,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.08155295313966,37.648132225929864]}"
00000000000000000335,0.12,소규모,2012-04-15,2012,0.15198059469030942,0.16864488119430113,0.16652955206559023,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.59603757583096,37.69907745546548]}"
0000000000000000035c,0.12,소규모,2012-05-01,2012,0.3748851197419224,0.3030949964525829,0.37335441646888967,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.1618618267048,37.13965647370436]}"
0000000000000000032d,0.15,소규모,2012-04-09,2012,0.1492418081381306,0.1078092124298184,0.14267474412190256,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.09616988639286,37.557608015443854]}"
00000000000000000346,0.15,소규모,2012-04-18,2012,0.3228943305644991,0.18132256302722835,0.15555032502179333,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.38590889554258,38.173030847335184]}"
00000000000000000266,0.2,소규모,2012-02-05,2012,0.22725606981433932,0.1602669198056439,0.20317542005588574,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.45689132745818,38.45244703754621]}"
000000000000000003a5,0.2,소규모,2012-05-26,2012,0.16426644617083436,0.13961836077620782,0.2001968646485951,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.5383412673004,37.306168225242146]}"
00000000000000000459,0.2,소규모,2012-06-29,2012,0.12135490791353991,0.10124455800840462,0.24686147110939674,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.76243984759662,37.257880619934376]}"
000000000000000004b9,0.2,소규모,2012-12-26,2012,0.30559309961200676,0.3439329079207396,0.33221966598330877,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.1618618267048,37.13965647370436]}"
00000000000000000421,0.3,소규모,2012-06-17,2012,0.08539462134115036,0.06137941946238866,0.10087793839966175,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.11283354702957,37.55691685478056]}"
0000000000000000042a,0.7,소규모,2012-06-22,2012,0.16005898319250844,0.12875686743856796,0.2300924752859019,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.91548511395298,37.4946455085692]}"
0000000000000000027b,1.0,소규모,2012-02-18,2012,0.14286933267322735,0.13968736245981128,0.16703281129751057,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.02796593802617,37.08443050715745]}"
00000000000000000413,1.0,소규모,2012-06-08,2012,0.24701008037555736,0.23544587428720642,0.16203463544372015,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.01332870702193,37.758392417678415]}"
00000000000000000353,1.5,소규모,2012-04-19,2012,0.15714100498732314,0.1751262328318443,0.19705030477611601,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.19140090983706,37.56264234053319]}"
000000000000000003b3,1.5,소규모,2012-05-28,2012,0.2683242030838388,0.28513614385627806,0.30933866263857324,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.34629024627532,37.136316607015345]}"
000000000000000005e7,4.0,소규모,2013-03-27,2013,0.16155186608317038,0.2033107050082273,0.23584167238863865,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.65789622339857,37.813783370964316]}"
0000000000000000054b,0.01,소규모,2013-11-08,2013,0.18585675894169323,0.250855494184196,0.2104314466430564,0.24861826877758977,Landsat-8,"{""type"":""Point"",""coordinates"":[128.6177756934665,38.08776391699119]}"
000000000000000005eb,0.01,소규모,2013-04-01,2013,0.1986366863158548,0.20840404619244177,0.2717027882080987,0.17407910569751964,Landsat-8,"{""type"":""Point"",""coordinates"":[127.78764268675071,37.88005453082063]}"
000000000000000005ec,0.01,소규모,2013-04-13,2013,0.2561553938722144,0.2631256617760587,0.20811584340387865,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.38712223462173,37.05318558607595]}"
000000000000000005ed,0.01,소규모,2013-04-16,2013,0.10677975193421638,0.12308308481734838,0.15378532930747194,0.07439607906586568,Landsat-8,"{""type"":""Point"",""coordinates"":[127.14767696266121,37.50265851316224]}"
000000000000000005f6,0.01,소규모,2013-05-08,2013,0.09527408223059752,0.11108060123736503,0.19929602451836123,0.1022425782903371,Landsat-8,"{""type"":""Point"",""coordinates"":[128.4694169423173,38.15564035322675]}"
000000000000000005fd,0.01,소규모,2013-06-11,2013,0.15689849167996703,0.19559928756978456,0.2260851682796091,0.15871593635444795,Landsat-8,"{""type"":""Point"",""coordinates"":[128.0482414705162,38.10549330277969]}"
00000000000000000601,0.01,소규모,2013-10-27,2013,0.26107569474423165,0.16777260720133155,0.1635444539153482,0.251562430641321,Landsat-8,"{""type"":""Point"",""coordinates"":[127.01708327010891,37.68314954650257]}"
00000000000000000607,0.01,소규모,2013-12-06,2013,0.21286894474984622,0.2613393547192431,0.21602876402380816,0.23210540089420692,Landsat-8,"{""type"":""Point"",""coordinates"":[128.70119655597438,38.026446818405255]}"
000000000000000005e9,0.02,소규모,2013-03-28,2013,0.1561099737421085,0.15796311625151713,0.1700525724293471,0.11260503406635182,Landsat-8,"{""type"":""Point"",""coordinates"":[128.88768953933263,37.76102328729994]}"
000000000000000005f8,0.02,소규모,2013-05-14,2013,0.16500661402461428,0.1893633673655559,0.3038576642829125,0.21967248152086805,Landsat-8,"{""type"":""Point"",""coordinates"":[127.7925655343137,38.142686664666485]}"
000000000000000005f9,0.02,소규모,2013-06-07,2013,0.17761359105205715,0.21250730535703072,0.21256809600404458,0.15837765694974193,Landsat-8,"{""type"":""Point"",""coordinates"":[127.7788493394733,37.879207301620475]}"
000000000000000005fc,0.02,소규모,2013-05-17,2013,0.1703409159395818,0.19858761047480575,0.21951432495287793,0.12671257550967663,Landsat-8,"{""type"":""Point"",""coordinates"":[127.66469635250509,37.851543038684895]}"
000000000000000005e0,0.03,소규모,2013-03-10,2013,0.0916546481228151,0.17731952166759035,0.1518843748244415,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.06933501625322,37.45150816497816]}"
00000000000000000606,0.03,소규모,2013-12-01,2013,0.17857050957937745,0.22389969663605008,0.18981697183046167,0.21632625126971122,Landsat-8,"{""type"":""Point"",""coordinates"":[128.85227089966511,37.73980242538659]}"
00000000000000000574,0.05,소규모,2013-03-06,2013,0.12914609610368732,0.18245000839336686,0.30970463744267707,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.66648445202752,37.700923523301604]}"
000000000000000005fb,0.05,소규모,2013-05-16,2013,0.21607999107645992,0.24549956224865796,0.25419325513552676,0.1683612970540605,Landsat-8,"{""type"":""Point"",""coordinates"":[127.75077929834185,37.61579036598922]}"
00000000000000000602,0.05,소규모,2013-10-29,2013,0.15441457948537615,0.264817931897522,0.16433273084787434,0.30108775782166824,Landsat-8,"{""type"":""Point"",""coordinates"":[127.70220631056668,38.00904294699366]}"
00000000000000000605,0.05,소규모,2013-11-22,2013,0.1379109959865124,0.23454439868142918,0.15893810739949085,0.161471825897813,Landsat-8,"{""type"":""Point"",""coordinates"":[128.9812147248276,37.308972999804766]}"
000000000000000005f1,0.07,소규모,2013-04-29,2013,0.17412976828203916,0.19207965708854008,0.19997519441877065,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[129.03485771050055,37.13041721632163]}"
000000000000000004c7,0.1,소규모,2013-01-12,2013,0.15305816955304205,0.1486136630621118,0.25514544454698795,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.61377587982156,38.128787646682895]}"
000000000000000005e1,0.1,소규모,2013-03-11,2013,0.14797120277452408,0.1849623038986823,0.25651065543396007,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.97023841578824,38.164683410163136]}"
000000000000000005e5,0.1,소규모,2013-03-23,2013,0.1431277307238122,0.2568095987447421,0.36108586287883493,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.78856572066877,37.35850023520538]}"
000000000000000005e6,0.1,소규모,2013-03-27,2013,0.16768055719730848,0.2171556786339113,0.3252973552960043,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.02275324889467,37.212170375035505]}"
000000000000000005e8,0.1,소규모,2013-03-27,2013,0.16864381252879926,0.20713529251136562,0.26220839902442594,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.88015119720548,37.697302733246204]}"
000000000000000005ea,0.1,소규모,2013-03-29,2013,0.14273220731604808,0.20101809687182562,0.30175860664633314,0.1358463143199562,Landsat-8,"{""type"":""Point"",""coordinates"":[127.62219220126363,37.05929455451918]}"
000000000000000005ee,0.1,소규모,2013-04-18,2013,0.120179150447436,0.14165447640409398,0.21204550512026604,0.10228408409866063,Landsat-8,"{""type"":""Point"",""coordinates"":[127.6949647304559,37.69610769416388]}"
000000000000000005ef,0.1,소규모,2013-04-19,2013,0.1571406447418355,0.19688537858701896,0.28747991666826206,0.15313090957331288,Landsat-8,"{""type"":""Point"",""coordinates"":[127.79397906934764,37.601815543287714]}"
000000000000000005f3,0.1,소규모,2013-05-04,2013,0.153373371904748,0.20804144605531064,0.25062842394854995,0.15680498130357728,Landsat-8,"{""type"":""Point"",""coordinates"":[127.86346970016454,37.67362490665241]}"
